First Name,Last Name,Title,Company Name,Headline,What Happened,About Person,About Company
Leonard,Campbell,Director of Information Technology,Advanced Benefit Advisors,Leonard Campbell was Appointed as Director of Information Technology at Advanced Benefit Advisors,Cherry Hill; NJ-based Advanced Benefit Advisors appointed Leonard Campbell as Director of Information Technology.,Leonard Campbell was previously the IT manager for Penn Systems Group Inc.,Advanced Benefit Advisors (ABA) is a boutique employee benefits consulting firm dedicated to maximizing your benefits investment.
Leon,Rudakov,Chief Technology Officer,ARTVENTIVE MEDICAL GROUP,Leon Rudakov was Appointed as Chief Technology Officer at ARTVENTIVE MEDICAL GROUP,Mill Creek; WA-based ARTVENTIVE MEDICAL GROUP appointed Leon Rudakov as Chief Technology Officer.,Leon Rudakov was previously the Director of Engineering with the Silicon Valley corporation CardioVasc Inc.,ARTVENTIVE MEDICAL GROUP is a holding company trading in the OTC market
Leon,Kuperman,Chief Technology Officer,BIDZ,Leon Kuperman was Promoted to Chief Technology Officer at BIDZ,Culver City; CA-based BIDZ promoted Leon Kuperman to Chief Technology Officer.,Leon Kuperman was previously CTO at Truition.,Bidz.com brings together the fragmented supply and demand of excess jewelry products in a single online location.
Lee,Perla,Chief Information Officer,Avizent,Lee Perla was Appointed as Chief Information Officer at Avizent,Dublin; OH-based Avizent appointed Lee Perla as Chief Information Officer.,Lee Perla was previously the Head of Portfolio Management at Capital One.,National risk management providor of claims management; medical managed care; alternative risk options and RMIS technology.
Leann,Bohner,Senior information officer,AXA Equitable,Leann Bohner was Promoted to Senior information officer at AXA Equitable,New York; NY-based AXA Equitable promoted Leann Bohner to Senior information officer.,Leann Bohner previously led the Enterprise Annuity Systems department at AXA Equitable where she is responsible for managing all annuity systems and support.,AXA Financial is one of the premier U.S. organizations in financial protection and wealth management through its strong brands:AXA Equitable Life Insurance Company; AXA Advisors; LLC; AllianceBernstein; L.P.; Sanford C. Bernstein and; Co.; LLC; AXA Distributors; LLC; and the MONY family of companies
Lawrence,Whittle,Chief Technology Officer,M Factor,Lawrence Whittle was Appointed as Chief Technology Officer at M Factor,San Mateo; CA-based M Factor appointed Lawrence Whittle as Chief Technology Officer.,Lawrence Whittle was previously the Managing Director and VP International at NOMIS SOLUTIONS INC.,M-Factor provides predictive analytics software for marketing and trade investment management for leading consumer products companies.
Lawrence,Levine,Chief Information Officer,University of Colorado at Boulder,Lawrence Levine was Appointed as Chief Information Officer at University of Colorado at Boulder,Boulder; CO-based University of Colorado at Boulder appointed Lawrence Levine as Chief Information Officer.,Lawrence Levine was previously Associate Dean for IT and CIO - Faculty of Arts and Sciences at Harvard University.,The University of Colorado at Boulder is a Tier 1 research institution that received more than $280 million in sponsored research awards for the 2008 fiscal year; placing us 13th nationally and 6th among all public universities.
Lawrence,Knorr,director of information systems,Giant Food Stores,Lawrence Knorr was Appointed as director of information systems at Giant Food Stores,Carlisle; PA-based Giant Food Stores appointed Lawrence Knorr as director of information systems.,Lawrence Knorr was previously the chief information officer for the Pennsylvania Liquor Control Board.,The GIANT/MARTINS story begins when David Javitch opens a two-man butcher shop called the Carlisle Meat Market.
Lawrence,Kalinowski,Chief Technology Officer,WebLOQ,Lawrence Kalinowski was Appointed as Chief Technology Officer at WebLOQ,Monterey; CA-based WebLOQ appointed Lawrence Kalinowski as Chief Technology Officer.,Lawrence Kalinowskis experience in early stage leadership includes his tenure with the technology incubator WashingtonVC; LLC; as well as being a founding developer with early stage companies associated with Summit Partners and Highland Capital VC groups. ,WebLOQ enables secure; private and compliant electronic communications. Combining revolutionary technology with unrivaled ease-of-use; WebLOQ's suite of LOQMail solutions simply integrate directly into users- email to provide a trusted communications channel to ensure that sensitive email; documents and personal information are delivered and received only by the intended recipients. 
LaVerne,Council,Chief Information Officer,Johnson & Johnson,LaVerne Council was Appointed as Chief Information Officer at Johnson & Johnson,New Brunswick; NJ-based Johnson & Johnson appointed LaVerne Council as Chief Information Officer.,LaVerne Council was previously the Global Vice President for IT; Global Business Solutions and Development Services for Dell.,Jonhson & Johnson is a New Jersey-based multi-national manufacturers of pharmaceutical; diagnostic; therapeutic; surgical; and biotechnology products.
Laurie,Pyle,Chief Information Officer,Stewart Lender Services,Laurie Pyle was Promoted to Chief Information Officer at Stewart Lender Services,Houston; TX-based Stewart Lender Services promoted Laurie Pyle to Chief Information Officer.,Laurie Pyle was previously Vice President - Sales Support Services at PropertyInfo Corporation; a Stewart Company.,Stewart Title Company is a wholly owned subsidiary of Stewart Information Services Corp. (NYSE-STC); a customer-driven; technology-enabled; strategically competitive; real estate information; title insurance and transaction management company.
Laurence,OHagan,Chief Technology Officer,StreamServe,Laurence OHagan was Appointed as Chief Technology Officer at StreamServe,Burlington; MA-based StreamServe appointed Laurence OHagan as Chief Technology Officer.,Laurence O'Hagan was previously the Chief Technology Officer; CCM Division at Pitney Bowes Business Insight.,StreamServe is a global leader in dynamic document composition; management and delivery solutions for customer communications.
Laurence,O'Hagan,Chief Technology Officer,StreamServe,Laurence O'Hagan was Appointed as Chief Technology Officer at StreamServe,Burlington; MA-based StreamServe appointed Laurence O'Hagan as Chief Technology Officer.,Laurence O'Hagan was most recently Chief Technology Officer for the Customer Communications Management division of Pitney Bowes Business Insight (PBBI); a position he was appointed to in 2004; when Pitney Bowes acquired Group 1 Software.,StreamServe is a leading provider of enterprise business communication solutions. Simple to deploy and maintain; the company's dynamic composition; document process automation and enterprise output management solutions meet the demanding challenges of today's global businesses for producing and delivering highly customized documents in any format. 
Larry,Simkin,Director of Information Technology,LocatePLUS Holdings Corporation,Larry Simkin was Appointed as Director of Information Technology at LocatePLUS Holdings Corporation,Beverly; MA-based LocatePLUS Holdings Corporation appointed Larry Simkin as Director of Information Technology.,Larry Simkin was previously with Ernst & Young; Anderson Consulting; GE; and First Advantage has focused on business workflows; reengineering; and new vertical market design. ,LocatePLUS in Beverly; Massachusetts provides online information data solutions to law enforcement agencies; professional investigators and other credentialed business customers. 
Larry,Lewark,Chief Information Officer,Macy's,Larry Lewark was Appointed as Chief Information Officer at Macy's,Cincinnati; OH-based Macy's appointed Larry Lewark as Chief Information Officer.,Larry Lewark previously held various technology positions in the retail industry.,Macy's; the largest retail brand of Macy's; Inc.; delivers fashion and affordable luxury to customers at more than 800 locations in 45 states; the District of Columbia; Puerto Rico and Guam.
Larry,Hayes,Senior Vice President; Information Technology,National Bank,Larry Hayes was Promoted to Senior Vice President; Information Technology at National Bank,Blacksburg; VA-based National Bank promoted Larry Hayes to Senior Vice President; Information Technology.,Larry Hayes was previously the Senior Vice President  of Information Technology at National Bank.,Since 1891; National Bank has been a community bank; loaning deposits to help support the growth and development of the communities we serve.
Larry,Godec,Chief Information Officer,First American Financial,Larry Godec was Promoted to Chief Information Officer at First American Financial,Santa Ana; CA-based First American Financial promoted Larry Godec to Chief Information Officer.,Larry Godec was previously the Chief Information Officer for First American Tax Service Company located in Dallas.,  Headquartered in Santa Ana; California; United States; First American Corporation is also the largest provider of real estate information in the United States. 
Larry,Genovesi,Chief Technology Officer,Terascala,Larry Genovesi was Promoted to Chief Technology Officer at Terascala,Avon; MA-based Terascala promoted Larry Genovesi to Chief Technology Officer.,Larry Genovesi was previously the founder of Terascala,Terascala Inc. is an Avon company that provides storage for high-performance computing environments
