First Name,Last Name,Title,Company Name,Headline,What Happened,About Person,About Company
Shijun,Zeng,Chief Technology Officer,Perpetual Technologies,Shijun Zeng was Appointed as Chief Technology Officer at Perpetual Technologies,Indianapolis; IN-based Perpetual Technologies appointed Shijun Zeng as Chief Technology Officer.,,
Stephen,Campbell,Chief Information Officer,Plymouth State University,Stephen Campbell was Appointed as Chief Information Officer at Plymouth State University,Plymouth; NH-based Plymouth State University appointed Stephen Campbell as Chief Information Officer.,,
Jason,Waters,Chief Technology Officer,HubPlumbing,Jason Waters was Appointed as Chief Technology Officer at HubPlumbing,Boston; MA-based HubPlumbing appointed Jason Waters as Chief Technology Officer.,,
Jim,Bertolina,Chief Technology Officer,HistoSonics,Jim Bertolina was Appointed as Chief Technology Officer at HistoSonics,Ann Arbor; MI-based HistoSonics appointed Jim Bertolina as Chief Technology Officer.,,
Aftkhar,Aslam,Chief Technology Officer,YieldWerx,Aftkhar Aslam was Appointed as Chief Technology Officer at YieldWerx,Irving; TX-based YieldWerx appointed Aftkhar Aslam as Chief Technology Officer.,,
Tony,Ali,Chief Technology Officer,BKV,Tony Ali was Appointed as Chief Technology Officer at BKV,Atlanta; GA-based BKV appointed Tony Ali as Chief Technology Officer.,,
Sean,Tuley,Senior Vice President; Information Technology,LifePoint Hospitals,Sean Tuley was Appointed as Senior Vice President; Information Technology at LifePoint Hospitals,Brentwood; TN-based LifePoint Hospitals appointed Sean Tuley as Senior Vice President; Information Technology.,,
Julie,Hartigan,Chief Technology Officer,Expert System,Julie Hartigan was Appointed as Chief Technology Officer at Expert System,Mountain View; CA-based Expert System appointed Julie Hartigan as Chief Technology Officer.,,
Kurt,Nielsen,Chief Technology Officer,Catalent Pharma Solutions,Kurt Nielsen was Appointed as Chief Technology Officer at Catalent Pharma Solutions,Somerset; NJ-based Catalent Pharma Solutions appointed Kurt Nielsen as Chief Technology Officer.,,
Rob,Roy,Chief Technology Officer,Fortify Software,Rob Roy was Appointed as Chief Technology Officer at Fortify Software,Foster City; CA-based Fortify Software appointed Rob Roy as Chief Technology Officer.,,
John,Polizzi,Chief Information Officer,PC Connection,John Polizzi was Appointed as Chief Information Officer at PC Connection,Merrimack; NH-based PC Connection appointed John Polizzi as Chief Information Officer.,,
Vikram,Rao,Chief Scientist,Global Resource,Vikram Rao was Appointed as Chief Scientist at Global Resource,Mount Laurel; NJ-based Global Resource appointed Vikram Rao as Chief Scientist.,,
Edward,Hanapole,Chief Information Officer,Kaplan,Edward Hanapole was Appointed as Chief Information Officer at Kaplan,New York; NY-based Kaplan appointed Edward Hanapole as Chief Information Officer.,,
Greg,Stewart,Chief Information Officer,Toromont Industries,Greg Stewart was Appointed as Chief Information Officer at Toromont Industries,Concord; ON-based Toromont Industries appointed Greg Stewart as Chief Information Officer.,,
