Company Name,Company Website,Company Logo,Company Size Revenue,Company Size Employees,Industry,Email Pattern,Leadership Page,Address,Address 2,City,Country,State,Zip Code,Phone,Fax,About Company,Facebook Link,Linkedin Link,Twitter Link,Google+ Link
1-800-FLOWERS.COM,www.1800flowers.com,,$250-500 Million,0-25,Retail : Retail Other,,,1 Old Country Rd Ste 500,,Carle Place,United States,NY,11514-1847,516.237.6000,,1-800-FLOWERS.COM; Inc. (1-800-FLOWERS.COM) is a florist and gift shop.                              ,,,,
First Empire Securities Inc,www.1empire.com,,$100-250 Million,250-1000,Financial Services : Financial Services Other,,,135 E Tugalo St,,Toccoa,United States,GA,30577-2357,706.886.7571,,First Empire Securities Inc is one of the leading providers in Financial Services.  It is based in Toccoa; GA.  To find more information about First Empire Securities Inc; please visit www.1empire.com,,,,
SST; Inc.,www.1sst.com,,$10-50 Million,250-1000,Business Services : Business Services Other,,,2450 Boulevard Of The Generals,,Norristown,United States,PA,19403-3660,610.630.6790,,SST specializes in the design; installation and service of Integrated Security Management; Closed Circuit Television; Photo-ID Badging and Network Communication Systems. At SST; we believe the customer is the center of our business.      ,,,,
1st Century Bank; N.A,www.1stcenturybank.com,,$50-100 Million,0-25,Financial Services : Financial Services Other,,,1040 Haddon Ave,,Collingswood,United States,NJ,08108-2046,856.858.1100,,1st Century Bank; N.A is one of the leading providers in Financial Services.  It is based in Collingswood; NJ.  To find more information about 1st Century Bank; N.A; please visit www.1stcenturybank.com,,,,
1st Financial Federal Credit Union,www.1stfinancialfcu.org,,$0-1 Million,0-25,Financial Services : Financial Services Other,,,323 N Gilbert St,,Danville,United States,IL,61832-5600,217.446.2125,,1st Financial Federal Credit Union is one of the leading providers in Financial Services.  It is based in Danville; IL.  To find more information about 1st Financial Federal Credit Union; please visit www.1stfinancialfcu.org,,,,
1st Global; Inc.,www.1stglobal.com,,$1-10 Million,25-100,Financial Services : Financial Services Other,,,731 E Bethalto Dr,,Bethalto,United States,IL,62010-1872,618.258.3168,,1st Global; Inc. is one of the leading providers in Financial Services.  It is based in Bethalto; IL.  To find more information about 1st Global; Inc.; please visit www.1stglobal.com,,,,
1st Global; Inc.,www.1stglobal.com,,$500M-1 Billion,0-25,Financial Services : Financial Services Other,,,8150 N Central Expy Ste 500,,Dallas,United States,TX,75206-1860,214.265.1201,,1st Global was founded in 1992 by CPAs who believe that accounting; legal and financial professionals are uniquely qualified to add value to their existing client relationships by offering holistic comprehensive wealth management services     ,,,,
1st Mariner Bank,www.1stmarinerbank.com,,$0-1 Million,100-250,Financial Services : Financial Services Other,,,975 American Pacific Dr Ste 202,,Henderson,United States,NV,89014-7822,702.566.8127,,1st Mariner Bank is one of the leading providers in Financial Services.  It is based in Henderson; NV.  To find more information about 1st Mariner Bank; please visit www.1stmarinerbank.com,,,,
1st West Financial Corporation,www.1stwest.com,,$50-100 Million,25-100,Business Services : Business Services Other,,,32186 Castle Ct Ste 220,,Evergreen,United States,CO,80439-8568,866.670.3443,,1st West Financial Corporation is one of the leading providers in Business Services.  It is based in Evergreen; CO.  To find more information about 1st West Financial Corporation; please visit www.1stwest.com.,,,,
20/20 Companies,www.2020companies.com,,$50-100 Million,25-100,Business Services : Business Services Other,,,5911 Breckenridge Pkwy Ste G,,Tampa,United States,FL,33610-4240,817.490.0100,,20/20 Companies is one of the leading providers in Business Services.  It is based in Tampa; FL.  To find more information about 20/20 Companies; please visit www.2020companies.com.,,,,
