Company Name,Company Website,Company Logo,Company Size Revenue,Company Size Employees,Industry,Email Pattern,Leadership Page,Address,Address 2,City,Country,State,Zip Code,Phone,Fax,About Company,Facebook Link,Linkedin Link,Twitter Link,Google+ Link
Wagstaff,www.wagstaff.com,,$1-10 Million,25-100,Manufacturing : Manufacturing Other,,,3910 N Flora Rd,,Spokane Vly,United States,WA,,509.922.1404,,Wagstaff is one of the leading companies in the Manufacturing  sector.,,,,
Glacial Energy,www.glacialenergy.com,,$100-250 Million,250-1000,Energy & Utilities : Alternative Energy Sources,,,5326 Yacht Haven Grande,,St Thomas,United States,VI,,508.883.3500,,Glacial Energy is one of the leading companies in the Energy & Utilities  sector.,,,,
Hovensa,www.hovensa.com,,> $1 Billion,1K-10K,Manufacturing : Chemicals and Petrochemicals,,,9219 Estate Blessing,,Christiansted,United States,VI,,340.692.3000,,Hovensa is one of the leading companies in the Manufacturing  sector.,,,,
Triple-S; Inc.,www.ssspr.com,,> $1 Billion,250-1000,Consumer Services : Consumer Services Other,,,Roosevelt Ave Apts,,San Juan,United States,PR,,787.774.6060,,Triple-S; Inc. is one of the leading companies in the Consumer Services  sector.,,,,
PeoplesBank,www.bankatpeoples.com,,$50-100 Million,100-250,Financial Services : Banks,,,330 Whitney Ave,,Holyoke,United States,MA,'01040,413.538.9500,,PeoplesBank is one of the leading companies in the Financial Services  sector.,,,,
Chartpak Inc,www.chartpak.com,,$10-50 Million,100-250,Manufacturing : Manufacturing Other,,,1 River Rd,,Leeds,United States,MA,'01053,413.584.5446,,Chartpak Inc is one of the leading companies in the Manufacturing  sector.,,,,
Massachusetts Municipal Wholesale Electric Company,www.mmwec.org,,$50-100 Million,25-100,Energy & Utilities : Energy & Utilities Other,,,1 Moody St,,Ludlow,United States,MA,'01056,413.589.0141,,Massachusetts Municipal Wholesale Electric Company is one of the leading companies in the Energy & Utilities  sector.,,,,
Mestek; Inc.,www.mestek.com,,$250-500 Million,1K-10K,Manufacturing : Manufacturing Other,,,260 N Elm St,,Westfield,United States,MA,'01085,413.568.9571,,Mestek; Inc. is one of the leading companies in the Manufacturing  sector.,,,,
Friendly Ice Cream Corporation,www.friendlys.com,,$500M-1 Billion,10K-50K,Retail : Restaurants and Bars,,,1855 Boston Rd,,Wilbraham,United States,MA,'01095,413.543.2400,,Friendly Ice Cream Corporation is one of the leading companies in the Retail  sector.,,,,
Kanzaki Specialty Papers; Inc.,www.kanzakiusa.com,,$100-250 Million,25-100,Business Services : Business Services Other,,,1350 Main St,,Springfield,United States,MA,'01103,413.736.3216,,Kanzaki Specialty Papers; Inc. is one of the leading companies in the Business Services  sector.,,,,
Springfield Symphony Orchestra,www.springfieldsymphony.org,,$1-10 Million,25-100,Media & Entertainment : Performing Arts,,,1350 Main St,,Springfield,United States,MA,'01103,413.733.2291,,Springfield Symphony Orchestra is one of the leading companies in the Media & Entertainment  sector.,,,,
Western Massachusetts Electric Company,www.wmeco.com,,$250-500 Million,10K-50K,Energy & Utilities : Gas and Electric Utilities,,,1 Federal St,,Springfield,United States,MA,'01105,413.781.4300,,Western Massachusetts Electric Company is one of the leading companies in the Energy & Utilities  sector.,,,,
Williams Inference Svc,www.williamsinference.com,,$1-10 Million,25-100,Business Services : Business Services Other,,,29 York Dr,,Longmeadow,United States,MA,'01106,413.567.7796,,Williams Inference Svc is one of the leading companies in the Business Services  sector.,,,,
SABIC Innovative Plastics US LLC,www.sabic-ip.com,,> $1 Billion,10K-50K,Manufacturing : Chemicals and Petrochemicals,,,1 Plastics Ave,,Pittsfield,United States,MA,'01201,413.448.7110,,SABIC Innovative Plastics US LLC is one of the leading companies in the Manufacturing  sector.,,,,
Hoosac Bank,www.hoosacbank.com,,$50-100 Million,100-250,Financial Services : Banks,,,93 Main St,,North Adams,United States,MA,'01247,413.663.5353,,Hoosac Bank is one of the leading companies in the Financial Services  sector.,,,,
Yankee Candle Company,www.yankeecandle.com,,> $1 Billion,1K-10K,Retail : Retail Other,,,16 Yankee Candle Way,,South Deerfield,United States,MA,'01373,413.665.8306,,Yankee Candle Company is one of the leading companies in the Retail  sector.,,,,
I-Team,www.iteam.com,,$1-10 Million,25-100,Software & Internet : Software & Internet Other,,,531 King St Ste 3,,Littleton,United States,MA,'01460,978.952.0080,,I-Team is one of the leading companies in the Software & Internet  sector.,,,,
Aubuchon Hardware,www.hardwarestore.com,,$500M-1 Billion,1K-10K,Retail : Retail Other,,,95 Aubuchon Dr,,Westminster,United States,MA,'01473,978.874.0521,,Aubuchon Hardware is one of the leading companies in the Retail  sector.,,,,
Aspen Aerogels,www.aerogel.com,,$10-50 Million,100-250,Manufacturing : Manufacturing Other,,,30 Forbes Rd . Bldg. B,,Northborough,United States,MA,'01532,508.691.1111,,Aspen Aerogels is one of the leading companies in the Manufacturing  sector.,,,,
Aspen Aerogels,www.aerogel.com,,$10-50 Million,100-250,Manufacturing : Manufacturing Other,,,30 Forbes Rd . Bldg. B,,Northborough,United States,MA,'01532,508.691.1111,,Aspen Aerogels is one of the leading companies in the Manufacturing  sector.,,,,
Tacticom,www.tacticom.com,,$1-10 Million,25-100,Business Services : Business Services Other,,,6 Maple St,,Northborough,United States,MA,'01532,508.393.9955,,Tacticom is one of the leading companies in the Business Services  sector.,,,,
Tacticom,www.tacticom.com,,$1-10 Million,25-100,Business Services : Business Services Other,,,6 Maple St,,Northborough,United States,MA,'01532,508.393.9955,,Tacticom is one of the leading companies in the Business Services  sector.,,,,
Tacticom,www.tacticom.com,,$1-10 Million,25-100,Business Services : Business Services Other,,,6 Maple St,,Northborough,United States,MA,'01532,508.393.9955,,Tacticom is one of the leading companies in the Business Services  sector.,,,,
The Commerce Group; Inc.,www.commerceinsurance.com,,> $1 Billion,1K-10K,Financial Services : Insurance and Risk Management,,,211 Main St,,Webster,United States,MA,'01570,800.922.8276,,The Commerce Group; Inc. is one of the leading companies in the Financial Services  sector.,,,,
The Commerce Group; Inc.,www.commerceinsurance.com,,> $1 Billion,1K-10K,Financial Services : Insurance and Risk Management,,,211 Main St,,Webster,United States,MA,'01570,800.922.8276,,The Commerce Group; Inc. is one of the leading companies in the Financial Services  sector.,,,,
E L Harvey,www.elharvey.com,,$50-100 Million,100-250,Energy & Utilities : Waste Management and Recycling,,,68 Hopkinton Rd,,Westborough,United States,MA,'01581,508.836.3000,,E L Harvey is one of the leading companies in the Energy & Utilities  sector.,,,,
NORESCO,www.noresco.com,,$50-100 Million,100-250,Business Services : Business Services Other,,,1 Research Dr Ste 400c,,Westborough,United States,MA,'01581,508.614.1000,,NORESCO is one of the leading companies in the Business Services  sector.,,,,
OneShield; Inc.,www.oneshield.com,,$1-10 Million,100-250,Computers & Electronics : IT and Network Services and Support,,,300 Friberg Pkwy,,Westborough,United States,MA,'01581,508.475.0300,,OneShield; Inc. is one of the leading companies in the Computers & Electronics  sector.,,,,
E L Harvey,www.elharvey.com,,$50-100 Million,100-250,Energy & Utilities : Waste Management and Recycling,,,68 Hopkinton Rd,,Westborough,United States,MA,'01581,508.836.3000,,E L Harvey is one of the leading companies in the Energy & Utilities  sector.,,,,
GenomeQuest; Inc.,www.genomequest.com,,$1-10 Million,25-100,Software & Internet : Software,,,1700 W Park Dr Ste 260,,Westborough,United States,MA,'01581,508.616.0100,,GenomeQuest; Inc. is one of the leading companies in the Software & Internet  sector.,,,,
Aternity,www.aternity.com,,$10-50 Million,25-100,Software & Internet : Software,,,200 Friberg Pkwy Ste 1004,,Westborough,United States,MA,'01581,508.475.0414,,Aternity is one of the leading companies in the Software & Internet  sector.,,,,
Energy Federation Incorporated,www.efi.org,,$50-100 Million,25-100,Wholesale & Distribution : Apparel Wholesalers,,,40 Washington St Ste 3000,,Westborough,United States,MA,'01581,508.870.2277,,Energy Federation Incorporated is one of the leading companies in the Wholesale & Distribution  sector.,,,,
Aternity,www.aternity.com,,$10-50 Million,25-100,Software & Internet : Software,,,200 Friberg Pkwy Ste 1004,,Westborough,United States,MA,'01581,508.475.0414,,Aternity is one of the leading companies in the Software & Internet  sector.,,,,
Boston-Power; Inc.,www.boston-power.com,,$50-100 Million,25-100,Manufacturing : Manufacturing Other,,,2200 W Park Dr Ste 320,,Westborough,United States,MA,'01581,508.366.0885,,Boston-Power; Inc. is one of the leading companies in the Manufacturing  sector.,,,,
Audit Analytics,www.auditanalytics.com,,$10-50 Million,25-100,Financial Services : Investment Banking and Venture Capital,,,9 Main St Ste 2f,,Sutton,United States,MA,'01590,508.476.7007,,Audit Analytics is one of the leading companies in the Financial Services  sector.,,,,
Providence and Worcester Railroad Company,www.pwrr.com,,$10-50 Million,100-250,Transportation & Storage : Freight Hauling (Rail and Truck),,,75 Hammond St,,Worcester,United States,MA,'01610,508.755.4000,,Providence and Worcester Railroad Company is one of the leading companies in the Transportation & Storage  sector.,,,,
Providence and Worcester Railroad Company,www.pwrr.com,,$10-50 Million,100-250,Transportation & Storage : Freight Hauling (Rail and Truck),,,75 Hammond St,,Worcester,United States,MA,'01610,508.755.4000,,Providence and Worcester Railroad Company is one of the leading companies in the Transportation & Storage  sector.,,,,
Cumberland Farms Gulf Group,www.cumberlandgulf.com,,> $1 Billion,1K-10K,Energy & Utilities : Gasoline and Oil Refineries,,,100 Crossing Blvd,,Framingham,United States,MA,'01702,508.270.8300,,Cumberland Farms Gulf Group is one of the leading companies in the Energy & Utilities  sector.,,,,
Kidde-Fenwal; Inc.,www.kidde-fenwal.com,,$1-10 Million,10K-50K,Manufacturing : Manufacturing Other,,,400 Main St,,Ashland,United States,MA,'01721,508.881.2000,,Kidde-Fenwal; Inc. is one of the leading companies in the Manufacturing  sector.,,,,
Enovia MatrixOne; Inc.,www.matrixone.com,,$50-100 Million,250-1000,Software & Internet : Software,,,201 Forest St,,Marlborough,United States,MA,'01752,330.676.0022,,Enovia MatrixOne; Inc. is one of the leading companies in the Software & Internet  sector.,,,,
Enovia MatrixOne; Inc.,www.matrixone.com,,$50-100 Million,250-1000,Software & Internet : Software,,,201 Forest St,,Marlborough,United States,MA,'01752,330.676.0022,,Enovia MatrixOne; Inc. is one of the leading companies in the Software & Internet  sector.,,,,
Hottinger Baldwin Messtechnik,www.hbm.com,,$50-100 Million,25-100,Manufacturing : Manufacturing Other,,,19 Bartlett St,,Marlborough,United States,MA,'01752,508.624.4500,,Hottinger Baldwin Messtechnik is one of the leading companies in the Manufacturing  sector.,,,,
Access Northeast,www.axsne.com,,$10-50 Million,25-100,Telecommunications : Telecommunications Other,,,34 Saint Martin Dr,,Marlborough,United States,MA,'01752,508.281.7600,,Access Northeast is one of the leading companies in the Telecommunications  sector.,,,,
Proficiency; Inc.,www.proficiency.com,,$1-10 Million,25-100,Software & Internet : Software,,,33 Boston Post Rd W,,Marlborough,United States,MA,'01752,888.783.9199,,Proficiency; Inc. is one of the leading companies in the Software & Internet  sector.,,,,
Proficiency; Inc.,www.proficiency.com,,$1-10 Million,25-100,Software & Internet : Software,,,33 Boston Post Rd W,,Marlborough,United States,MA,'01752,888.783.9199,,Proficiency; Inc. is one of the leading companies in the Software & Internet  sector.,,,,
Barker Steel Co,www.barker.com,,$50-100 Million,250-1000,Manufacturing : Manufacturing Other,,,55 Sumner St,,Milford,United States,MA,'01757,800.370.0132,,Barker Steel Co is one of the leading companies in the Manufacturing  sector.,,,,
Barker Steel Co,www.barker.com,,$50-100 Million,250-1000,Manufacturing : Manufacturing Other,,,55 Sumner St,,Milford,United States,MA,'01757,800.370.0132,,Barker Steel Co is one of the leading companies in the Manufacturing  sector.,,,,
LP Innovations,www.lpinnovations.com,,$100-250 Million,250-1000,Financial Services : Financial Services Other,,,37 Birch St,,Milford,United States,MA,'01757,877.574.6682,,LP Innovations is one of the leading companies in the Financial Services  sector.,,,,
Kaz Inc.,www.kaz.com,,$250-500 Million,1K-10K,Manufacturing : Manufacturing Other,,,250 Turnpike Rd,,Southborough,United States,MA,'01772,508.490.7000,,Kaz Inc. is one of the leading companies in the Manufacturing  sector.,,,,
Palladium Group; Inc.,www.thepalladiumgroup.com,,$1-10 Million,25-100,Business Services : Management Consulting,,,55 Old Bedford Rd,,Lincoln,United States,MA,'01773,781.259.3737,,Palladium Group; Inc. is one of the leading companies in the Business Services  sector.,,,,
ADTECH Systems; Inc,www.adtech-sys.com,,$1-10 Million,25-100,Business Services : Sales Services,,,490 Boston Post Rd,,Sudbury,United States,MA,'01776,978.261.1077,,ADTECH Systems; Inc is one of the leading companies in the Business Services  sector.,,,,
ADTECH Systems; Inc,www.adtech-sys.com,,$1-10 Million,25-100,Business Services : Sales Services,,,490 Boston Post Rd,,Sudbury,United States,MA,'01776,978.261.1077,,ADTECH Systems; Inc is one of the leading companies in the Business Services  sector.,,,,
Axceler; Inc,www.axceler.com,,$10-50 Million,100-250,Software & Internet : E-commerce and Internet Businesses,,,600 Unicorn Park Dr,,Woburn,United States,MA,'01801,866.499.7092,,Axceler; Inc is one of the leading companies in the Software & Internet  sector.,,,,
Skyworks Solutions; Inc.,www.skyworksinc.com,,> $1 Billion,1K-10K,Computers & Electronics : Semiconductor and Microchip Manufacturing,,,20 Sylvan Rd,,Woburn,United States,MA,'01801,781.376.3000,,Skyworks Solutions; Inc. is one of the leading companies in the Computers & Electronics  sector.,,,,
