Company Name,Company Website,Company Logo,Company Size Revenue,Company Size Employees,Industry,Email Pattern,Leadership Page,Address,Address 2,City,Country,State,Zip Code,Phone,Fax,About Company,Facebook Link,Linkedin Link,Twitter Link,Google+ Link
Sparton Electronics,www.sparton.ca,,$10 - 50M,100 - 250,Computers and Electronics : Consumer Electronics; Parts and Repair,,,99 Ash St,,London,Canada,ON,N5Z 4V3,519.452.4910,,Sparton Electronics is a London; ON-based company in the Computers & Electronics sector.,,,,
Heaters; Controls & Sensors,www.hcs77.com,,$1 - 10M,0 - 25,Manufacturing : Tools; Hardware and Light Machinery,,,60 Meg Dr Unit 13,,London,Canada,ON,N636,519.686.6095,,Heaters; Controls & Sensors is a London; ON-based company in the Manufacturing sector.,,,,
Complete Interiors & Design,www.completeinteriorsltd.com,,$1 - 10M,0 - 25,Wholesale and Distribution : Office Equipment and Supplies Wholesalers,,,36 York St,,London,Canada,ON,N6A 1A5,519.679.4811,,Complete Interiors & Design Ltd. is a London; ON-based company in the Wholesale & Distribution sector.,,,,
Spriet Associates,www.spriet.on.ca,,$1 - 10M,0 - 25,Real Estate and Construction : Architecture;Engineering and Design,,,155 York St,,London,Canada,ON,N6A 1A8,519.672.4100,,Spriet Associates is a London; ON-based company in the Real Estate & Construction sector.,,,,
All Canada Collect,www.crmcanada.com,,$1 - 10M,25 - 100,Business Services : Business Services Other,,,148 York St,,London,Canada,ON,N6A 1A9,519.672.7100,,All Canada Collect is a London; ON-based company in the Business Services sector.,,,,
Gardner Galleries,www.gardnergalleries.com,,$1 - 10M,0 - 25,Wholesale and Distribution : Wholesale and Distribution Other,,,186 York St,,London,Canada,ON,N6A 1B5,519.439.3333,,Gardner Galleries is a London; ON-based company in the Wholesale & Distribution sector.,,,,
CIVA Communications,www.civacom.com,,$1 - 10M,25 - 100,Business Services : Advertising; Marketing and PR,,,45 King St Ste 73,,London,Canada,ON,N6A 1B8,519.433.1734,,CIVA Communications Inc. is a London; ON-based company in the Business Services sector.,,,,
Conversys,www.conversysinc.com,,$1 - 10M,100 - 250,Software and Internet : E-commerce and Internet Businesses,,,45 King St,,London,Canada,ON,N6A 1B8,519.673.3570,,Conversys Inc. is a London; ON-based company in the Software & Internet sector.,,,,
Biz-Pro,www.biz-proltd.com,,$1 - 10M,0 - 25,Retail : Retail Other,,,97 King St,,London,Canada,ON,N6A 1C1,800.265.1865,,Biz-Pro Ltd. is a London; ON-based company in the Retail sector.,,,,
Biz-Pro,www.exculink.com,,$1 - 10M,25 - 100,Other : Other,,,97 King St,,London,Canada,ON,N6A 1C1,519.434.2189,,Biz-Pro Ltd. is a London; ON-based company in the Other sector.,,,,
Fodemesi Shoes Limited,www.fodemesi.com,,$1 - 10M,25 - 100,Manufacturing : Textiles; Apparel and Accessories,,,123 Dundas St,,London,Canada,ON,N6A 1E8,519.432.9639,,Fodemesi Shoes Limited is a London; ON-based company in the Manufacturing sector.,,,,
Nokee Kwe Occupational Skill Development,www.nokeekwe.ca,,$1 - 10M,25 - 100,Business Services : Business Services Other,,,137 Dundas St,,London,Canada,ON,N6A 1E9,519.667.7088,,Nokee Kwe Occupational Skill Development Inc. is a London; ON-based company in the Business Services sector.,,,,
The ARTS Project,www.artsproject.ca,,$1 - 10M,25 - 100,Travel; Recreation and Leisure : Travel; Recreation and Leisure Other,,,203 Dundas St,,London,Canada,ON,N6A 1G4,519.642.2767,,The ARTS Project is a London; ON-based company in the Travel; Recreation and Leisure sector.,,,,
Mainstreet London,www.mainstreetlondon.ca,,$1 - 10M,25 - 100,Business Services : Business Services Other,,,167 Dundas St,,London,Canada,ON,N6A 1G4,519.432.9816,,Mainstreet London is a London; ON-based company in the Business Services sector.,,,,
Big Blue Bubble,www.bigbluebubble.com,,$1 - 10M,0 - 25,Software and Internet : E-commerce and Internet Businesses,,,220 Dundas St Ste 900,,London,Canada,ON,N6A 1H3,519.649.0071,,Big Blue Bubble is a London; ON-based company in the Software & Internet sector.,,,,
Grimes Photography,www.grimesphoto.com,,$1 - 10M,25 - 100,Other : Other,,,201-242 Dundas St,,London,Canada,ON,N6A 1H3,519.673.0403,,Grimes Photography Inc. is a London; ON-based company in the Other sector.,,,,
Cram & Associates,www.cramassociates.com,,$1 - 10M,0 - 25,Business Services : Legal Services,,,200 Queens Ave Ste 514,,London,Canada,ON,N6A 1J3,519.673.1670,,Cram & Associates is a London; ON-based company in the Business Services sector.,,,,
Portfolio Management Canada,www.aktivkapital.ca,,$10 - 50M,100 - 250,Business Services : Business Services Other,,,200 Queens Ave Ste 700,,London,Canada,ON,N6A 1J3,519.964.3106,,Portfolio Management Canada; Inc. is a London; ON-based company in the Business Services sector.,,,,
Xtivity,www.xtivity.com,,$10 - 50M,100 - 250,Software and Internet : Data Analytics; Management and Storage,,,200 Queens Ave Ste 300,,London,Canada,ON,N6A 1J3,519.642.1881,,Xtivity; Inc. is a London; ON-based company in the Software & Internet sector.,,,,
CHJX-FM,www.gracefm.ca,,$1 - 10M,0 - 25,Media and Entertainment : Media and Entertainment Other,,,100 Fullarton St,,London,Canada,ON,N6A 1K1,519.434.0848,,CHJX-FM is a London; ON-based company in the Media & Entertainment sector.,,,,
The Fisher Corporation,www.fishercorp.ca,,$1 - 10M,25 - 100,Other : Other,,,93 Dufferin Ave,,London,Canada,ON,N6A 1K3,519.679.2080,,The Fisher Corporation is a London; ON-based company in the Other sector.,,,,
