Dupe 1,Dupe 2
403920,403947
403919,403946
403917,403945
403916,403944
403914,403943
403913,403942
403912,403941
403910,403940
403909,403939
403931,403938
403908,403936
403907,403933
403893,403915
403901,403904
403897,403900
403896,403899
403895,403898
403890,403894
403889,403892
403888,403891
403865,403886
403863,403885
403856,403884
403847,403882
403843,403880
403842,403879
403841,403877
403840,403876
403839,403875
403838,403874
403837,403873
403836,403872
403835,403870
403833,403869
403832,403867
403831,403862
403828,403861
403827,403859
403826,403858
403825,403857
403819,403855
403818,403854
403817,403853
403816,403851
403815,403850
403814,403849
403813,403848
403812,403846
403811,403845
403810,403844
392562,403800
403796,403799
391803,403795
403783,403791
403778,403790
403754,403788
403752,403787
403751,403786
403750,403784
403748,403782
403747,403780
403746,403779
403744,403777
403742,403776
403741,403775
403740,403774
403737,403772
403755,403771
403735,403769
403734,403768
403731,403765
403729,403764
403728,403763
403727,403762
403726,403761
403725,403760
403724,403759
403723,403758
403722,403757
403713,403749
403712,403745
403710,403733
403709,403714
403708,403711
403704,403706
403584,403705
403702,403703
403699,403701
403695,403697
403694,403696
403687,403693
403686,403692
403666,403688
403663,403685
403662,403684
403669,403683
403659,403682
403658,403681
403657,403680
403656,403679
403654,403678
403652,403677
403651,403676
403650,403674
403649,403673
403647,403671
403558,403664
403635,403638
403633,403637
403632,403636
403630,403631
403612,403627
403611,403626
403608,403624
403606,403622
403605,403621
403604,403620
403603,403619
403602,403618
403598,403617
403597,403616
403581,403591
403580,403590
403579,403589
403578,403588
403577,403586
403576,403585
403552,403563
403551,403562
403550,403561
403549,403560
403548,403559
403547,403557
403546,403556
403553,403555
403544,403554
403530,403540
403529,403538
403527,403536
403523,403535
403522,403534
403521,403533
403520,403532
403515,403516
403509,403514
403508,403511
403507,403510
403495,403504
403494,403503
403491,403502
403490,403501
403488,403500
403487,403498
403473,403482
403468,403481
403467,403480
403466,403479
403465,403478
403464,403477
403463,403475
403462,403474
403461,403471
403457,403458
403455,403456
403441,403454
403440,403453
403438,403452
403436,403451
403434,403449
403433,403448
403432,403447
403430,403445
403428,403429
403423,403426
403422,403425
403413,403421
403412,403420
403411,403419
403410,403418
403318,403417
403409,403415
403408,403414
403402,403405
394925,403404
403401,403403
402980,403400
403398,403399
403382,403397
403380,403396
403379,403395
403378,403394
403377,403393
403374,403390
403371,403388
403370,403387
403369,403386
403368,403385
403365,403384
403344,403362
403341,403360
403347,403359
403340,403357
403339,403356
403338,403355
403337,403354
403336,403353
403335,403352
403334,403351
403333,403349
403325,403328
403321,403327
403314,403326
403319,403324
403317,403323
403316,403322
386326,403320
403309,403313
403283,403312
403282,403308
403281,403307
403286,403306
403277,403304
403276,403303
403275,403302
403274,403301
403272,403300
403271,403299
403270,403298
403268,403297
403267,403296
403266,403295
403264,403294
403263,403292
403262,403291
403261,403290
403260,403288
403259,403287
403253,403254
403250,403252
403249,403251
403205,403247
403204,403246
403202,403245
403200,403243
403198,403241
403197,403240
403196,403239
403195,403238
403194,403237
403193,403236
403190,403235
403189,403234
403188,403233
403187,403232
403186,403231
403185,403230
403184,403229
403183,403228
403182,403227
403180,403226
403178,403225
403177,403224
