Dupe 1,Dupe 2
405354,405367
405352,405366
405351,405364
405350,405363
405348,405361
405346,405360
405345,405359
405344,405358
405343,405357
405342,405356
405341,405355
405335,405337
405307,405336
405288,405334
405287,405332
405285,405330
405284,405329
405283,405328
405282,405327
405279,405324
405277,405321
405276,405320
405275,405318
405274,405317
405273,405315
405272,405314
405270,405312
405269,405311
405268,405310
405267,405309
405266,405308
405265,405306
405264,405305
405262,405304
405261,405303
405258,405300
405257,405299
405256,405298
405255,405297
405291,405295
405254,405294
405253,405293
405252,405292
397506,405260
405240,405242
405238,405241
405228,405236
405226,405235
405230,405234
405229,405233
405224,405232
405209,405221
405208,405220
405207,405219
405205,405217
405204,405216
405202,405215
405201,405214
405200,405213
405199,405212
405198,405211
405195,405197
405192,405194
405189,405190
405183,405186
405181,405185
405172,405184
405170,405182
405168,405180
405167,405178
405166,405177
405165,405176
405157,405161
405156,405160
405154,405159
405153,405158
405141,405148
405139,405145
405138,405144
405136,405143
405135,405142
405129,405131
405128,405130
405123,405126
405122,405125
405121,405124
405117,405118
405096,405116
405094,405115
405093,405114
405092,405113
405091,405112
405090,405111
405089,405110
405088,405109
405087,405108
405086,405107
405085,405106
405084,405105
405082,405104
405080,405102
405079,405101
405078,405100
405077,405099
405067,405073
405066,405072
405064,405070
405063,405069
405060,405061
405056,405058
405055,405057
405052,405054
405051,405053
405049,405050
405038,405045
405021,405044
405015,405043
405014,405042
405009,405041
405008,405040
405007,405037
405006,405035
405005,405034
405004,405033
403834,405031
405003,405029
405002,405028
405001,405026
405000,405024
404999,405023
404996,405022
404995,405020
405011,405018
404991,405017
405010,405016
404983,404986
404982,404985
404981,404984
404921,404976
404910,404975
404902,404972
404901,404970
404900,404969
404899,404968
404898,404967
404897,404966
404896,404964
404895,404963
404894,404962
404893,404960
404892,404958
404891,404957
404890,404956
404889,404955
404887,404954
404886,404953
404885,404952
404884,404951
404882,404950
404880,404949
403634,404948
404878,404947
404877,404946
404876,404945
404874,404944
404873,404943
404870,404939
404867,404938
404866,404937
404865,404934
404864,404933
404862,404932
404860,404931
404858,404929
404855,404927
404854,404926
404853,404925
404852,404923
404850,404919
404849,404918
404848,404916
404847,404914
404846,404913
404844,404912
404843,404911
404842,404909
404841,404908
404840,404907
404839,404906
393032,404868
404815,404823
404798,404821
404796,404820
404794,404819
404792,404817
404790,404814
404787,404813
404786,404812
404785,404811
404801,404810
404784,404809
404782,404808
404781,404807
404780,404806
404779,404805
404778,404804
404799,404803
404775,404802
404550,404783
404761,404766
404759,404765
404757,404764
404739,404754
404734,404752
404726,404751
404718,404750
404711,404749
404005,404748
404708,404747
404707,404746
404706,404745
404704,404744
404703,404741
404697,404735
404696,404733
404694,404732
404693,404731
404691,404730
404690,404728
404687,404727
404686,404725
404685,404724
404684,404723
404682,404722
404680,404720
404678,404719
404712,404717
404676,404716
404674,404714
404673,404713
404626,404661
404625,404660
404624,404659
404623,404658
404622,404657
404621,404656
404620,404655
404619,404654
404618,404653
404617,404652
404616,404651
404615,404650
404614,404649
404613,404648
404610,404647
404608,404646
404607,404645
404605,404644
404604,404643
404603,404642
404601,404640
404597,404639
404596,404637
404594,404636
404593,404635
404592,404634
404591,404632
404590,404631
404589,404630
404588,404629
404587,404628
404576,404578
404575,404577
404567,404574
404535,404573
404532,404571
404531,404570
404530,404569
404529,404568
404527,404565
404524,404563
404523,404562
404521,404561
404520,404560
404519,404559
404518,404557
404517,404556
404516,404555
404515,404554
404514,404553
404513,404552
404512,404551
404510,404549
404509,404548
404508,404547
404507,404546
404506,404545
404505,404544
404504,404543
404502,404542
404501,404541
404536,404539
404500,404538
404489,404490
404484,404485
404479,404483
404478,404482
404476,404481
404456,404474
404455,404473
404454,404471
404453,404470
404452,404469
404451,404468
404450,404466
404449,404465
404448,404463
404447,404462
404446,404461
404445,404460
404444,404459
404437,404441
404399,404440
404397,404439
404396,404438
404395,404436
404393,404433
404392,404432
404390,404431
404389,404430
404386,404428
404385,404427
404384,404426
404383,404425
404381,404423
404379,404421
404378,404419
404375,404417
404374,404416
404373,404415
404371,404414
404370,404413
404369,404412
404368,404410
404367,404409
404366,404408
404365,404407
404363,404406
404362,404405
404344,404404
404361,404403
404348,404351
404347,404350
404346,404349
404341,404342
404335,404340
404334,404339
404331,404337
404328,404329
404314,404323
404313,404322
404312,404320
404311,404319
404310,404316
404309,404315
404294,404307
404293,404306
404290,404305
404288,404304
404287,404303
404286,404302
404285,404301
404284,404300
404283,404299
404044,404298
404282,404297
404281,404296
404278,404279
404271,404277
404256,404273
404254,404270
404220,404269
404253,404268
404257,404267
404251,404266
404250,404265
404248,404264
404247,404263
404246,404262
404245,404261
404244,404260
404237,404241
404236,404240
404235,404239
404218,404238
404231,404232
404221,404228
404219,404226
404217,404225
404216,404224
404215,404223
404213,404214
404206,404212
404205,404211
404204,404210
404202,404209
404195,404200
404184,404199
404183,404197
404182,404194
404180,404191
404179,404190
404178,404189
404177,404187
404171,404172
404140,404168
404139,404166
404138,404165
404137,404164
404136,404163
404134,404162
404133,404161
404131,404160
404130,404159
404128,404158
404127,404157
404125,404156
404124,404155
404123,404154
404122,404153
404121,404151
404120,404150
404119,404149
404116,404148
404115,404147
404114,404146
404112,404144
404111,404143
404096,404103
404069,404102
404068,404101
404067,404100
404066,404099
404065,404098
404063,404094
404062,404093
404061,404092
404059,404091
404070,404090
404057,404089
404055,404088
404054,404087
404053,404086
404052,404085
404050,404084
404049,404083
404047,404082
404046,404081
404045,404080
404043,404079
404042,404078
404041,404076
404040,404075
404039,404073
404038,404071
404024,404028
404023,404027
404022,404026
404020,404025
404014,404019
404013,404018
404012,404017
404010,404016
404009,404015
404000,404002
403995,403999
403993,403998
403991,403997
403990,403996
403986,403989
403983,403988
403982,403987
403980,403985
403978,403984
403968,403975
403967,403974
403964,403973
403963,403972
403962,403971
403961,403970
403930,403958
403929,403957
403928,403956
403927,403955
403925,403954
403924,403952
403923,403951
403922,403949
403921,403948
403920,403947
403919,403946
403917,403945
403916,403944
403914,403943
403913,403942
403912,403941
403910,403940
403909,403939
403931,403938
403908,403936
403907,403933
403893,403915
403901,403904
403897,403900
403896,403899
403895,403898
403890,403894
403889,403892
403888,403891
403865,403886
403863,403885
403856,403884
403847,403882
403843,403880
403842,403879
403841,403877
403840,403876
403839,403875
403838,403874
403837,403873
403836,403872
403835,403870
403833,403869
403832,403867
403831,403862
403828,403861
403827,403859
403826,403858
403825,403857
403819,403855
403818,403854
403817,403853
403816,403851
403815,403850
403814,403849
403813,403848
403812,403846
403811,403845
403810,403844
392562,403800
403796,403799
391803,403795
403783,403791
403778,403790
403754,403788
403752,403787
403751,403786
