Dupe 1,Dupe 2
263538,263623
263537,263622
263536,263620
263535,263618
263533,263617
259003,263544
262372,263534
263509,263519
263508,263518
263507,263517
263506,263516
263505,263515
263502,263513
263501,263511
263500,263510
263476,263498
263453,263495
263452,263494
263451,263493
263450,263492
263449,263491
263448,263490
263446,263489
263445,263488
263444,263487
263443,263486
263441,263485
263439,263484
263438,263483
263435,263482
263434,263481
263433,263480
263432,263479
263431,263478
263430,263475
263429,263474
263428,263473
263427,263472
263425,263470
263423,263468
263422,263467
263421,263465
263420,263463
263419,263462
263417,263461
263416,263459
263415,263458
263414,263457
263397,263409
263395,263408
263394,263407
263393,263406
263392,263405
263391,263403
263390,263402
263389,263401
263388,263400
263386,263399
263373,263382
263372,263381
263371,263380
263370,263378
263369,263377
263368,263375
263336,263366
263334,263365
263333,263364
263331,263362
263330,263359
263328,263358
263325,263357
263323,263355
263322,263354
263320,263352
263318,263351
263317,263350
263316,263349
263315,263348
263313,263346
263312,263345
263311,263344
263310,263343
263309,263342
263307,263341
263305,263339
260346,263324
263274,263292
263269,263291
263268,263290
263267,263289
263265,263288
263264,263287
263262,263286
263261,263285
263258,263284
263257,263283
263256,263281
263255,263280
263254,263279
263253,263278
263252,263277
263251,263276
263250,263273
263249,263272
263239,263248
263236,263247
263232,263246
263222,263245
263208,263244
263203,263242
263201,263241
263200,263240
263199,263238
263198,263237
263195,263235
263194,263234
263193,263233
263192,263231
263191,263230
263190,263229
263188,263228
263186,263226
263185,263225
263184,263224
263183,263223
263182,263221
263181,263220
263180,263219
263178,263217
263177,263216
263176,263215
263175,263214
263174,263213
263173,263212
263172,263211
263171,263210
263170,263209
263168,263206
263158,263159
263124,263157
263123,263156
260831,263155
263122,263154
263121,263153
263120,263152
263119,263151
263118,263150
263117,263149
263116,263148
263115,263147
263114,263146
263113,263145
263112,263144
263111,263143
263110,263142
263109,263141
263108,263139
263107,263138
263105,263137
263104,263136
263103,263135
263102,263134
263101,263133
263100,263131
263099,263130
263097,263129
263051,263086
263049,263085
263048,263084
263047,263083
263046,263082
263045,263081
263043,263079
263042,263078
263041,263077
263039,263076
263038,263075
263037,263074
263036,263073
263035,263072
263034,263070
263032,263069
263030,263068
263028,263067
263027,263066
263026,263064
263025,263063
263024,263062
263023,263061
263022,263060
263021,263059
263020,263058
263018,263057
263017,263055
263016,263054
262842,263050
262949,263007
262937,263005
262934,263004
262932,263001
262931,263000
262930,262999
262929,262998
262928,262997
262925,262995
262924,262994
262944,262993
262922,262992
262921,262991
262943,262990
262919,262989
262918,262988
262917,262987
262916,262985
262915,262984
262914,262983
262913,262982
262912,262981
262911,262980
262910,262979
262908,262978
262907,262976
262906,262975
262905,262974
262904,262973
262903,262972
262901,262970
262900,262969
262899,262968
262898,262967
260519,262966
262897,262965
262896,262964
262895,262963
262894,262962
262893,262961
262892,262960
262891,262959
262890,262957
262241,262956
262887,262954
262886,262953
262885,262952
262884,262951
262883,262950
262882,262948
262881,262947
259559,262933
262818,262860
262793,262859
262789,262858
262788,262857
262787,262856
262785,262855
262772,262853
262768,262852
262765,262851
262746,262850
262731,262849
262725,262848
262712,262846
262709,262845
262702,262844
262677,262840
262676,262839
262675,262838
262674,262837
262672,262836
262671,262835
262670,262834
262669,262833
262668,262832
262667,262831
262666,262830
262664,262829
262663,262828
262662,262827
262661,262826
262660,262825
262659,262824
262658,262823
262657,262822
262338,262821
262656,262820
262655,262817
262654,262816
262653,262815
262651,262813
262650,262812
262649,262811
262647,262810
262646,262809
262645,262808
262644,262807
262643,262806
262642,262805
262639,262804
262637,262803
262636,262802
262634,262800
262633,262799
262631,262797
262630,262796
262629,262795
262627,262794
262682,262791
262626,262790
262625,262786
262624,262783
262622,262782
262621,262781
262620,262780
262619,262779
262617,262778
262616,262777
262615,262776
262614,262775
262613,262773
262610,262771
262609,262770
262608,262767
262607,262766
262605,262764
262604,262763
262603,262762
262601,262760
262600,262758
262599,262757
262598,262756
262597,262755
262596,262754
262595,262753
262594,262751
262593,262750
262592,262749
262591,262748
262590,262747
262588,262745
262586,262743
262585,262740
262582,262739
262581,262738
262580,262737
262579,262736
262681,262735
262578,262733
262577,262730
262575,262729
262574,262728
262573,262727
262572,262726
262568,262723
262567,262722
262566,262721
262565,262720
262564,262719
262563,262718
262562,262717
262561,262716
262559,262715
262556,262714
262555,262713
262554,262711
262553,262708
262552,262707
262550,262706
262549,262705
262548,262704
262547,262703
262544,262701
262542,262700
262541,262699
262540,262697
262539,262696
262537,262695
262536,262694
262534,262693
262532,262691
262531,262690
262530,262689
262529,262688
262527,262687
262526,262686
260906,262558
262486,262502
262471,262501
262430,262500
262425,262499
262421,262498
262387,262497
262380,262496
262373,262495
262353,262494
262352,262492
262351,262491
262350,262490
262349,262489
262348,262488
262347,262484
262343,262483
262342,262482
262341,262480
262340,262479
262337,262477
262336,262476
262335,262475
262334,262474
262333,262473
262332,262472
262331,262470
262330,262469
262329,262468
262328,262467
262327,262466
262326,262465
262325,262464
262324,262463
262323,262462
262322,262461
262321,262460
262319,262458
262318,262457
262317,262456
262316,262455
262315,262454
262314,262453
262313,262451
262312,262450
262311,262449
262310,262448
262309,262446
262308,262445
262307,262443
262306,262441
262305,262440
262304,262439
262303,262438
262302,262437
262301,262436
262300,262435
262299,262434
262298,262433
262297,262432
262296,262431
262295,262429
262293,262427
262291,262426
262290,262424
262289,262423
262288,262422
262287,262420
262286,262419
262285,262418
262284,262417
262283,262416
262280,262415
262278,262414
262277,262413
262276,262412
262274,262410
262273,262409
262272,262408
262270,262406
262269,262405
262268,262404
262266,262403
262265,262402
262264,262401
262263,262400
262261,262398
262260,262397
262259,262396
262258,262395
262257,262394
262256,262393
262255,262392
262252,262391
262251,262390
262250,262389
262249,262388
262248,262386
262247,262385
262245,262384
262244,262383
262243,262382
262242,262381
262240,262378
262356,262377
262238,262375
262237,262374
262236,262371
262235,262370
262233,262369
262232,262368
262231,262366
262229,262365
262228,262364
262201,262203
262200,262202
262193,262196
262191,262195
262139,262189
262134,262188
262133,262187
262131,262186
262129,262185
262128,262184
262127,262182
262126,262181
262125,262180
262124,262179
262122,262178
260142,262177
262120,262176
262119,262174
262117,262173
262116,262172
262114,262170
262113,262169
262112,262168
262111,262167
262110,262166
262109,262165
262108,262164
